0	1	2	3	4	5	6	7	8	9	10	11	12
0.99917823	0.9956696	0.99985313	2.317331e-11	0.9999056	0.9991786	0.9987179	0.99422306	0.99939513	1.0138999e-05	0.99946815	0.998774	0.99389124
5.867717e-09	3.3614352e-15	4.316019e-08	0.5364223	1.578345e-08	4.2794244e-09	3.1515037e-09	5.866292e-14	9.31251e-09	0.66667914	1.3647319e-07	4.91055e-09	3.104532e-07
7.483929e-08	8.2819236e-14	7.8312576e-07	0.45031574	1.0649714e-08	7.335706e-08	5.359798e-08	1.1149314e-12	1.5651997e-07	0.5882098	1.3391528e-07	8.2152404e-08	7.2210256e-08
1.3625693e-07	1.1433197e-11	5.100132e-07	0.28320318	1.8790162e-05	1.2165155e-07	7.7049584e-08	6.2282776e-11	1.2685241e-07	0.48428285	4.0800664e-05	1.1602484e-07	0.00034104232
0.9966084	0.9470964	0.9992818	2.8010266e-10	0.99602604	0.99633527	0.99458057	0.9484322	0.99765503	2.3567853e-05	0.9887227	0.9945082	0.85777676
0.00739497	0.000117419666	0.026978878	2.8265758e-05	0.5070056	0.007683342	0.0045193676	0.00020105956	0.006672587	0.009559625	0.43254828	0.0045663523	0.6650138
0.002588442	4.865926e-06	0.014657463	0.0006745639	0.004662028	0.0027098788	0.0019657959	1.0914032e-05	0.003714308	0.029033868	0.008382811	0.0021364845	0.013017929
0.017762104	1.7895669e-05	0.1047918	3.565727e-05	0.0016355313	0.017630178	0.014173006	5.403066e-05	0.03190214	0.006006257	0.0045488835	0.014005945	0.0013753329
0.0028995285	2.2043223e-06	0.021121573	0.00092974183	0.001566222	0.0029261224	0.0018538225	4.5313577e-06	0.0048480267	0.03431709	0.0034103517	0.0018894252	0.0015207162
2.0188577e-07	2.4989457e-11	4.424147e-07	0.31891552	1.3573282e-05	1.6961248e-07	1.0087182e-07	1.7200401e-10	1.7133056e-07	0.4733626	4.3579665e-05	1.3759539e-07	0.0005405897
1.4434115e-06	2.7874774e-11	1.3880181e-05	0.31986362	3.3941535e-07	1.3771133e-06	1.0946866e-06	2.8142647e-10	3.038332e-06	0.47052193	2.3357002e-06	1.4439609e-06	3.5991711e-06
3.1371208e-10	1.3090859e-15	2.0328825e-09	0.4921151	9.021592e-08	2.8535713e-10	1.4938951e-10	1.3305667e-14	2.764505e-10	0.64071065	7.1525216e-07	2.6544084e-10	9.955077e-06
